,descriptions,id,scores
12,<START> 快手 枪手 <UNK> 手 市井 骗子 <UNK> 机智 <UNK> 小聪明 双 快手 行走 江湖 赌局 枪手 <UNK> 威胁 踏上 找回 <UNK> 玉玺 寻宝 路 途中 默契 配合 老 <UNK> 石佛 金三娘 夫妻 <UNK> 联盟 觊觎 国宝 <UNK> 斗智斗勇 夺宝 途中 一段段 故事 啼笑皆非 <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> 林更新 张静初 腾格尔 潘安子 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26219893,1
13,<START> 海上 浮城 <UNK> <UNK> <UNK> 骗 钱 祸不单行 猪 莫名 死去 打破 <UNK> 老板 <UNK> <UNK> 城市 打拼 儿子 <UNK> <UNK> <UNK> 抱有 中国 梦 美国 建筑师 <UNK> 生活 <UNK> 挣扎 生活 最终 找回 <UNK> 海上 浮城 <UNK> 黑色 喜剧 元素 剧情片 荒诞 真实 手法 展现 当代 中国 现代化 进程 老百姓 挣扎 拼搏 超 现实 风格 结局 提供 种 逃离 现实 感觉 <UNK> 邬君梅 <UNK> 李梦 <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26989213,1
14,<START> 诱狼 诱狼 真实 历史 事件 改编 <UNK> 战役 背景 重现 当年 担任 <UNK> <UNK> <UNK> <UNK> <UNK> 曾 <UNK> <UNK> 日军 <UNK> 阿部 <UNK> 所属 部队 <UNK> <UNK> 最终 <UNK> 一举 歼灭 故事 <UNK> <UNK> 侯勇 <UNK> 安澜 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26378587,1
15,<START> 魔幻 <UNK> 海婴 从小 父母 一个 <UNK> <UNK> 孤苦伶仃 生活 孤身一人 海婴 孩子们 欺负 善良 海婴 选择 默默 忍耐 海婴 找到 母亲 朋友们 认可 小小 女孩 踏上 漫漫 寻母 旅 出发 没 多久 海婴 海盗 绑架 众人 千里迢迢 来到 <UNK> 意外 之中 解除 封印 邪恶 烈焰 魔王 重现 世间 强大 烈焰 魔王 毁灭 世界 唯有 水晶 剑 降服 妈妈 心灵 感情 海婴 最终 <UNK> 宝物 力量 战胜 邪恶 保护 世界 和平 ©豆 瓣 <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,25820625,1
16,<START> <UNK> 大治 表面 一个 平凡 无奇 少年 身份 潜伏 平民 之中 特工 刑警 孟晓玲 自幼 大治 一同 生长 孤儿院 成年 穷苦 悲惨 孟晓玲 金钱 超越 常人 渴望 执着 <UNK> 土豪 杜豪金 前往 意大利 <UNK> 买 此举 吸引 帮 犯罪 分子 <UNK> <UNK> 夺走 杜豪金 财产 富豪 <UNK> 一直以来 国际 刑警 合作 无间 次 买下 孟晓玲 想 <UNK> <UNK> 吸引 犯罪 分子们 富家 <UNK> 证明 能力 亦 潜伏 杜豪金 身边 接连 意外 危险 大治 结缘 ©豆 瓣 <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> 乔任梁 张馨予 任达华 姜国民 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26346888,1
17,<START> 青春 <UNK> 影片 改编 <UNK> <UNK> 出版 同名 小说 故事 围绕 上世纪 <UNK> 美国 名 <UNK> <UNK> 青年 <UNK> 苦闷 彷徨 展开 <UNK> <UNK> <UNK> <UNK> <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26604675,1
18,<START> 王朝 女人 杨贵妃 巍巍 大唐 如日中天 <UNK> 杨家 <UNK> 长成 <UNK> 风姿 抓住 帝王 <UNK> 视线 由此 注定 一生 平凡 杨玉环 后宫 地位 威胁 武惠妃 巧舌如簧 <UNK> 儿子 寿王 <UNK> <UNK> 武惠妃 <UNK> 风韵 <UNK> 可怕 骨子里 流淌 <UNK> 武则 <UNK> 权力 极度 渴望 <UNK> 寿王 <UNK> 不惜 <UNK> <UNK> 陷 太子 致使 <UNK> 喋血 父子 相杀 <UNK> <UNK> 走到 <UNK> 王朝 荣光 褪色 <UNK> <UNK> 杨玉环 <UNK> 执拗 坠入 <UNK> <UNK> 女子 繁华 走向 黑暗 身处 ©豆 瓣 <UNK> <UNK> <UNK> <UNK> <UNK> 范冰冰 黎明 吴尊 <UNK> <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,5993138,1
19,<START> <UNK> 爱 <UNK> 名 <UNK> 高管 日本 母亲 离世 使 身心 倍受 打击 白天 <UNK> <UNK> 夜里 骇人 梦魇 惊醒 母亲 战争 留下 <UNK> 多年 雪妮 孤独 母亲 年幼 儿子 步步 相依为命 身边 一个 信赖 律师 外 <UNK> 心话 母亲 <UNK> 完结 一个 东北 老太太 雪妮 心头 打响 <UNK> 生身 母亲 雪妮 不得不 接受 严酷 现实 岁 儿子 喜欢 来自 农村 老太太 一家人 磨合 相处 照顾 母亲 儿子 感受 雪妮 换 工作 次 例行 <UNK> 母子 血缘 关系 发生 惊天 <UNK> ...... ©豆 瓣 <UNK> <UNK> <UNK> <UNK> 余男 于谦 <UNK> 李欣蔓 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,10564052,1
20,<START> 恐怖 电影院 <UNK> <UNK> 欣雅 新 恐怖 电影 沉浸 莫大 恐惧 内疚 气氛 之中 前期 拍摄 过程 演员 欣雅 弟弟 小艺 女朋友 夏梦 导演 次 危险 表演 最终 意外 身亡 欣雅 为此 疑神疑鬼 总 夏梦 身影 徘徊 演员 <UNK> 周晴 <UNK> 欣雅 男友 <UNK> 周晴 某种 微妙 加上 <UNK> 一家 恐怖 电影院 <UNK> 夏梦 宣传 仪式 这一切 欣雅 焦虑 不安 影片 宣传 仪式 如期 恐怖 诡异 事件 随之 发生 ©豆 瓣 <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> 罗翔 <UNK> 袁杰 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,25864171,1
21,<START> 红包 重归 单身 生活 职场 精英 场 假 结婚 <UNK> 送 <UNK> 元 红包 最终 <UNK> 爱上 演员 新娘 一对 夫妻 终成 眷属 男主 <UNK> 结婚 敛财 <UNK> <UNK> <UNK> <UNK> 廖蔚蔚 <UNK> 李克龙 <END> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD> <PAD>,26263844,1
